@relation satimage

@attribute A1_discretized {'\"MinValue~45.5\"','\"45.5~52.0\"','\"52.0~58.5\"','\"58.5~65.0\"','\"65.0~71.5\"','\"71.5~78.0\"','\"78.0~84.5\"','\"84.5~91.0\"','\"91.0~97.5\"','\"97.5~MaxValue\"'}
@attribute A2_discretized {'\"MinValue~38.0\"','\"38.0~49.0\"','\"49.0~60.0\"','\"60.0~71.0\"','\"71.0~82.0\"','\"82.0~93.0\"','\"93.0~104.0\"','\"104.0~115.0\"','\"115.0~126.0\"','\"126.0~MaxValue\"'}
@attribute A3_discretized {'\"MinValue~61.7\"','\"61.7~70.4\"','\"70.4~79.1\"','\"79.1~87.8\"','\"87.8~96.5\"','\"96.5~105.19999999999999\"','\"105.19999999999999~MaxValue\"'}
@attribute A4_discretized {'\"MinValue~45.1\"','\"45.1~57.2\"','\"57.2~69.3\"','\"69.3~81.4\"','\"81.4~93.5\"','\"93.5~105.6\"','\"105.6~MaxValue\"'}
@attribute A5_discretized {'\"MinValue~45.5\"','\"45.5~52.0\"','\"52.0~58.5\"','\"58.5~65.0\"','\"65.0~71.5\"','\"71.5~78.0\"','\"78.0~84.5\"','\"84.5~91.0\"','\"91.0~97.5\"','\"97.5~MaxValue\"'}
@attribute A6_discretized {'\"MinValue~38.0\"','\"38.0~49.0\"','\"49.0~60.0\"','\"60.0~71.0\"','\"71.0~82.0\"','\"82.0~93.0\"','\"93.0~104.0\"','\"104.0~115.0\"','\"115.0~126.0\"','\"126.0~MaxValue\"'}
@attribute A7_discretized {'\"MinValue~59.5\"','\"59.5~69.0\"','\"69.0~78.5\"','\"78.5~88.0\"','\"88.0~97.5\"','\"97.5~107.0\"','\"107.0~116.5\"','\"116.5~126.0\"','\"126.0~135.5\"','\"135.5~MaxValue\"'}
@attribute A8_discretized {'\"MinValue~41.8\"','\"41.8~54.6\"','\"54.6~67.4\"','\"67.4~80.2\"','\"80.2~93.0\"','\"93.0~105.80000000000001\"','\"105.80000000000001~118.60000000000001\"','\"118.60000000000001~131.4\"','\"131.4~MaxValue\"'}
@attribute A9_discretized {'\"MinValue~46.4\"','\"46.4~52.8\"','\"52.8~59.2\"','\"59.2~65.6\"','\"65.6~72.0\"','\"72.0~MaxValue\"'}
@attribute A10_discretized {'\"MinValue~37.3\"','\"37.3~47.6\"','\"47.6~57.900000000000006\"','\"57.900000000000006~68.2\"','\"68.2~78.5\"','\"78.5~88.80000000000001\"','\"88.80000000000001~99.10000000000001\"','\"99.10000000000001~MaxValue\"'}
@attribute A11_discretized {'\"MinValue~59.5\"','\"59.5~69.0\"','\"69.0~78.5\"','\"78.5~88.0\"','\"88.0~97.5\"','\"97.5~107.0\"','\"107.0~116.5\"','\"116.5~126.0\"','\"126.0~135.5\"','\"135.5~MaxValue\"'}
@attribute A12_discretized {'\"MinValue~41.8\"','\"41.8~54.6\"','\"54.6~67.4\"','\"67.4~80.2\"','\"80.2~93.0\"','\"93.0~105.80000000000001\"','\"105.80000000000001~118.60000000000001\"','\"118.60000000000001~131.4\"','\"131.4~MaxValue\"'}
@attribute A13_discretized {'\"MinValue~45.5\"','\"45.5~52.0\"','\"52.0~58.5\"','\"58.5~65.0\"','\"65.0~71.5\"','\"71.5~78.0\"','\"78.0~84.5\"','\"84.5~91.0\"','\"91.0~97.5\"','\"97.5~MaxValue\"'}
@attribute A14_discretized {'\"MinValue~38.0\"','\"38.0~49.0\"','\"49.0~60.0\"','\"60.0~71.0\"','\"71.0~82.0\"','\"82.0~93.0\"','\"93.0~104.0\"','\"104.0~115.0\"','\"115.0~126.0\"','\"126.0~MaxValue\"'}
@attribute A15_discretized {'\"MinValue~59.5\"','\"59.5~69.0\"','\"69.0~78.5\"','\"78.5~88.0\"','\"88.0~97.5\"','\"97.5~107.0\"','\"107.0~116.5\"','\"116.5~126.0\"','\"126.0~135.5\"','\"135.5~MaxValue\"'}
@attribute A16_discretized {'\"MinValue~41.5\"','\"41.5~54.0\"','\"54.0~66.5\"','\"66.5~79.0\"','\"79.0~91.5\"','\"91.5~104.0\"','\"104.0~116.5\"','\"116.5~129.0\"','\"129.0~MaxValue\"'}
@attribute A17_discretized {'\"MinValue~46.4\"','\"46.4~52.8\"','\"52.8~59.2\"','\"59.2~65.6\"','\"65.6~72.0\"','\"72.0~MaxValue\"'}
@attribute A18_discretized {'\"MinValue~37.3\"','\"37.3~47.6\"','\"47.6~57.900000000000006\"','\"57.900000000000006~68.2\"','\"68.2~78.5\"','\"78.5~88.80000000000001\"','\"88.80000000000001~99.10000000000001\"','\"99.10000000000001~MaxValue\"'}
@attribute A19_discretized {'\"MinValue~59.5\"','\"59.5~69.0\"','\"69.0~78.5\"','\"78.5~88.0\"','\"88.0~97.5\"','\"97.5~107.0\"','\"107.0~116.5\"','\"116.5~126.0\"','\"126.0~135.5\"','\"135.5~MaxValue\"'}
@attribute A20_discretized {'\"MinValue~41.8\"','\"41.8~54.6\"','\"54.6~67.4\"','\"67.4~80.2\"','\"80.2~93.0\"','\"93.0~105.80000000000001\"','\"105.80000000000001~118.60000000000001\"','\"118.60000000000001~131.4\"','\"131.4~MaxValue\"'}
@attribute A21_discretized {'\"MinValue~45.5\"','\"45.5~52.0\"','\"52.0~58.5\"','\"58.5~65.0\"','\"65.0~71.5\"','\"71.5~78.0\"','\"78.0~84.5\"','\"84.5~91.0\"','\"91.0~97.5\"','\"97.5~MaxValue\"'}
@attribute A22_discretized {'\"MinValue~37.3\"','\"37.3~47.6\"','\"47.6~57.900000000000006\"','\"57.900000000000006~68.2\"','\"68.2~78.5\"','\"78.5~88.80000000000001\"','\"88.80000000000001~99.10000000000001\"','\"99.10000000000001~MaxValue\"'}
@attribute A23_discretized {'\"MinValue~59.5\"','\"59.5~69.0\"','\"69.0~78.5\"','\"78.5~88.0\"','\"88.0~97.5\"','\"97.5~107.0\"','\"107.0~116.5\"','\"116.5~126.0\"','\"126.0~135.5\"','\"135.5~MaxValue\"'}
@attribute A24_discretized {'\"MinValue~41.8\"','\"41.8~54.6\"','\"54.6~67.4\"','\"67.4~80.2\"','\"80.2~93.0\"','\"93.0~105.80000000000001\"','\"105.80000000000001~118.60000000000001\"','\"118.60000000000001~131.4\"','\"131.4~MaxValue\"'}
@attribute A25_discretized {'\"MinValue~45.5\"','\"45.5~52.0\"','\"52.0~58.5\"','\"58.5~65.0\"','\"65.0~71.5\"','\"71.5~78.0\"','\"78.0~84.5\"','\"84.5~91.0\"','\"91.0~97.5\"','\"97.5~MaxValue\"'}
@attribute A26_discretized {'\"MinValue~37.4\"','\"37.4~47.8\"','\"47.8~58.2\"','\"58.2~68.6\"','\"68.6~79.0\"','\"79.0~89.4\"','\"89.4~99.8\"','\"99.8~110.2\"','\"110.2~120.60000000000001\"','\"120.60000000000001~MaxValue\"'}
@attribute A27_discretized {'\"MinValue~59.0\"','\"59.0~68.0\"','\"68.0~77.0\"','\"77.0~86.0\"','\"86.0~95.0\"','\"95.0~104.0\"','\"104.0~113.0\"','\"113.0~122.0\"','\"122.0~131.0\"','\"131.0~MaxValue\"'}
@attribute A28_discretized {'\"MinValue~41.5\"','\"41.5~54.0\"','\"54.0~66.5\"','\"66.5~79.0\"','\"79.0~91.5\"','\"91.5~104.0\"','\"104.0~116.5\"','\"116.5~129.0\"','\"129.0~MaxValue\"'}
@attribute A29_discretized {'\"MinValue~45.5\"','\"45.5~52.0\"','\"52.0~58.5\"','\"58.5~65.0\"','\"65.0~71.5\"','\"71.5~78.0\"','\"78.0~84.5\"','\"84.5~91.0\"','\"91.0~97.5\"','\"97.5~MaxValue\"'}
@attribute A30_discretized {'\"MinValue~37.3\"','\"37.3~47.6\"','\"47.6~57.900000000000006\"','\"57.900000000000006~68.2\"','\"68.2~78.5\"','\"78.5~88.80000000000001\"','\"88.80000000000001~99.10000000000001\"','\"99.10000000000001~MaxValue\"'}
@attribute A31_discretized {'\"MinValue~59.5\"','\"59.5~69.0\"','\"69.0~78.5\"','\"78.5~88.0\"','\"88.0~97.5\"','\"97.5~107.0\"','\"107.0~116.5\"','\"116.5~126.0\"','\"126.0~135.5\"','\"135.5~MaxValue\"'}
@attribute A32_discretized {'\"MinValue~41.8\"','\"41.8~54.6\"','\"54.6~67.4\"','\"67.4~80.2\"','\"80.2~93.0\"','\"93.0~105.80000000000001\"','\"105.80000000000001~118.60000000000001\"','\"118.60000000000001~131.4\"','\"131.4~MaxValue\"'}
@attribute A33_discretized {'\"MinValue~45.5\"','\"45.5~52.0\"','\"52.0~58.5\"','\"58.5~65.0\"','\"65.0~71.5\"','\"71.5~78.0\"','\"78.0~84.5\"','\"84.5~91.0\"','\"91.0~97.5\"','\"97.5~MaxValue\"'}
@attribute A34_discretized {'\"MinValue~37.3\"','\"37.3~47.6\"','\"47.6~57.900000000000006\"','\"57.900000000000006~68.2\"','\"68.2~78.5\"','\"78.5~88.80000000000001\"','\"88.80000000000001~99.10000000000001\"','\"99.10000000000001~MaxValue\"'}
@attribute A35_discretized {'\"MinValue~59.5\"','\"59.5~69.0\"','\"69.0~78.5\"','\"78.5~88.0\"','\"88.0~97.5\"','\"97.5~107.0\"','\"107.0~116.5\"','\"116.5~126.0\"','\"126.0~135.5\"','\"135.5~MaxValue\"'}
@attribute A36_discretized {'\"MinValue~41.8\"','\"41.8~54.6\"','\"54.6~67.4\"','\"67.4~80.2\"','\"80.2~93.0\"','\"93.0~105.80000000000001\"','\"105.80000000000001~118.60000000000001\"','\"118.60000000000001~131.4\"','\"131.4~MaxValue\"'}
@attribute class {positive,negative}

@data
'\"91.0~97.5\"','\"93.0~104.0\"','\"96.5~105.19999999999999\"','\"81.4~93.5\"','\"71.5~78.0\"','\"71.0~82.0\"','\"88.0~97.5\"','\"67.4~80.2\"','\"52.8~59.2\"','\"37.3~47.6\"','\"97.5~107.0\"','\"93.0~105.80000000000001\"','\"91.0~97.5\"','\"115.0~126.0\"','\"107.0~116.5\"','\"79.0~91.5\"','\"72.0~MaxValue\"','\"99.10000000000001~MaxValue\"','\"97.5~107.0\"','\"67.4~80.2\"','\"65.0~71.5\"','\"68.2~78.5\"','\"88.0~97.5\"','\"67.4~80.2\"','\"97.5~MaxValue\"','\"110.2~120.60000000000001\"','\"113.0~122.0\"','\"91.5~104.0\"','\"91.0~97.5\"','\"99.10000000000001~MaxValue\"','\"107.0~116.5\"','\"80.2~93.0\"','\"78.0~84.5\"','\"88.80000000000001~99.10000000000001\"','\"97.5~107.0\"','\"67.4~80.2\"',negative
'\"MinValue~45.5\"','\"MinValue~38.0\"','\"105.19999999999999~MaxValue\"','\"105.6~MaxValue\"','\"MinValue~45.5\"','\"MinValue~38.0\"','\"126.0~135.5\"','\"131.4~MaxValue\"','\"MinValue~46.4\"','\"MinValue~37.3\"','\"135.5~MaxValue\"','\"131.4~MaxValue\"','\"MinValue~45.5\"','\"MinValue~38.0\"','\"126.0~135.5\"','\"129.0~MaxValue\"','\"MinValue~46.4\"','\"MinValue~37.3\"','\"135.5~MaxValue\"','\"131.4~MaxValue\"','\"45.5~52.0\"','\"MinValue~37.3\"','\"135.5~MaxValue\"','\"131.4~MaxValue\"','\"MinValue~45.5\"','\"MinValue~37.4\"','\"122.0~131.0\"','\"129.0~MaxValue\"','\"MinValue~45.5\"','\"MinValue~37.3\"','\"126.0~135.5\"','\"131.4~MaxValue\"','\"45.5~52.0\"','\"MinValue~37.3\"','\"126.0~135.5\"','\"131.4~MaxValue\"',negative
'\"45.5~52.0\"','\"MinValue~38.0\"','\"105.19999999999999~MaxValue\"','\"105.6~MaxValue\"','\"45.5~52.0\"','\"MinValue~38.0\"','\"126.0~135.5\"','\"131.4~MaxValue\"','\"MinValue~46.4\"','\"MinValue~37.3\"','\"135.5~MaxValue\"','\"131.4~MaxValue\"','\"45.5~52.0\"','\"MinValue~38.0\"','\"126.0~135.5\"','\"129.0~MaxValue\"','\"MinValue~46.4\"','\"MinValue~37.3\"','\"126.0~135.5\"','\"131.4~MaxValue\"','\"45.5~52.0\"','\"MinValue~37.3\"','\"126.0~135.5\"','\"131.4~MaxValue\"','\"MinValue~45.5\"','\"MinValue~37.4\"','\"122.0~131.0\"','\"129.0~MaxValue\"','\"MinValue~45.5\"','\"MinValue~37.3\"','\"126.0~135.5\"','\"131.4~MaxValue\"','\"45.5~52.0\"','\"MinValue~37.3\"','\"116.5~126.0\"','\"118.60000000000001~131.4\"',negative
'\"78.0~84.5\"','\"93.0~104.0\"','\"96.5~105.19999999999999\"','\"81.4~93.5\"','\"78.0~84.5\"','\"93.0~104.0\"','\"97.5~107.0\"','\"80.2~93.0\"','\"72.0~MaxValue\"','\"88.80000000000001~99.10000000000001\"','\"88.0~97.5\"','\"67.4~80.2\"','\"78.0~84.5\"','\"93.0~104.0\"','\"97.5~107.0\"','\"79.0~91.5\"','\"72.0~MaxValue\"','\"88.80000000000001~99.10000000000001\"','\"97.5~107.0\"','\"67.4~80.2\"','\"78.0~84.5\"','\"78.5~88.80000000000001\"','\"88.0~97.5\"','\"67.4~80.2\"','\"78.0~84.5\"','\"89.4~99.8\"','\"95.0~104.0\"','\"66.5~79.0\"','\"78.0~84.5\"','\"88.80000000000001~99.10000000000001\"','\"97.5~107.0\"','\"67.4~80.2\"','\"78.0~84.5\"','\"88.80000000000001~99.10000000000001\"','\"88.0~97.5\"','\"67.4~80.2\"',positive
'\"65.0~71.5\"','\"60.0~71.0\"','\"70.4~79.1\"','\"57.2~69.3\"','\"65.0~71.5\"','\"71.0~82.0\"','\"69.0~78.5\"','\"54.6~67.4\"','\"65.6~72.0\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"','\"58.5~65.0\"','\"60.0~71.0\"','\"69.0~78.5\"','\"54.0~66.5\"','\"59.2~65.6\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"','\"58.5~65.0\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"','\"65.0~71.5\"','\"68.6~79.0\"','\"68.0~77.0\"','\"54.0~66.5\"','\"58.5~65.0\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"','\"58.5~65.0\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"',negative
'\"65.0~71.5\"','\"71.0~82.0\"','\"70.4~79.1\"','\"45.1~57.2\"','\"58.5~65.0\"','\"71.0~82.0\"','\"69.0~78.5\"','\"54.6~67.4\"','\"59.2~65.6\"','\"68.2~78.5\"','\"69.0~78.5\"','\"41.8~54.6\"','\"65.0~71.5\"','\"71.0~82.0\"','\"69.0~78.5\"','\"54.0~66.5\"','\"65.6~72.0\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"','\"65.0~71.5\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"','\"65.0~71.5\"','\"68.6~79.0\"','\"68.0~77.0\"','\"54.0~66.5\"','\"65.0~71.5\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"','\"58.5~65.0\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"',negative
'\"65.0~71.5\"','\"71.0~82.0\"','\"79.1~87.8\"','\"69.3~81.4\"','\"65.0~71.5\"','\"82.0~93.0\"','\"78.5~88.0\"','\"67.4~80.2\"','\"65.6~72.0\"','\"68.2~78.5\"','\"78.5~88.0\"','\"54.6~67.4\"','\"65.0~71.5\"','\"71.0~82.0\"','\"78.5~88.0\"','\"66.5~79.0\"','\"65.6~72.0\"','\"68.2~78.5\"','\"78.5~88.0\"','\"54.6~67.4\"','\"65.0~71.5\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"','\"65.0~71.5\"','\"68.6~79.0\"','\"68.0~77.0\"','\"54.0~66.5\"','\"58.5~65.0\"','\"57.900000000000006~68.2\"','\"69.0~78.5\"','\"54.6~67.4\"','\"58.5~65.0\"','\"57.900000000000006~68.2\"','\"59.5~69.0\"','\"54.6~67.4\"',negative
'\"65.0~71.5\"','\"71.0~82.0\"','\"70.4~79.1\"','\"45.1~57.2\"','\"65.0~71.5\"','\"71.0~82.0\"','\"69.0~78.5\"','\"54.6~67.4\"','\"65.6~72.0\"','\"68.2~78.5\"','\"78.5~88.0\"','\"54.6~67.4\"','\"58.5~65.0\"','\"71.0~82.0\"','\"69.0~78.5\"','\"54.0~66.5\"','\"59.2~65.6\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"','\"58.5~65.0\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"','\"58.5~65.0\"','\"68.6~79.0\"','\"68.0~77.0\"','\"54.0~66.5\"','\"58.5~65.0\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"','\"58.5~65.0\"','\"68.2~78.5\"','\"69.0~78.5\"','\"54.6~67.4\"',negative
'\"84.5~91.0\"','\"104.0~115.0\"','\"105.19999999999999~MaxValue\"','\"81.4~93.5\"','\"84.5~91.0\"','\"104.0~115.0\"','\"107.0~116.5\"','\"80.2~93.0\"','\"72.0~MaxValue\"','\"99.10000000000001~MaxValue\"','\"107.0~116.5\"','\"80.2~93.0\"','\"91.0~97.5\"','\"104.0~115.0\"','\"107.0~116.5\"','\"79.0~91.5\"','\"72.0~MaxValue\"','\"99.10000000000001~MaxValue\"','\"107.0~116.5\"','\"80.2~93.0\"','\"84.5~91.0\"','\"99.10000000000001~MaxValue\"','\"107.0~116.5\"','\"80.2~93.0\"','\"84.5~91.0\"','\"99.8~110.2\"','\"104.0~113.0\"','\"79.0~91.5\"','\"91.0~97.5\"','\"99.10000000000001~MaxValue\"','\"107.0~116.5\"','\"80.2~93.0\"','\"91.0~97.5\"','\"99.10000000000001~MaxValue\"','\"107.0~116.5\"','\"93.0~105.80000000000001\"',negative
'\"58.5~65.0\"','\"60.0~71.0\"','\"70.4~79.1\"','\"57.2~69.3\"','\"65.0~71.5\"','\"60.0~71.0\"','\"78.5~88.0\"','\"54.6~67.4\"','\"65.6~72.0\"','\"68.2~78.5\"','\"88.0~97.5\"','\"67.4~80.2\"','\"58.5~65.0\"','\"60.0~71.0\"','\"78.5~88.0\"','\"66.5~79.0\"','\"59.2~65.6\"','\"47.6~57.900000000000006\"','\"69.0~78.5\"','\"67.4~80.2\"','\"65.0~71.5\"','\"68.2~78.5\"','\"78.5~88.0\"','\"67.4~80.2\"','\"58.5~65.0\"','\"58.2~68.6\"','\"77.0~86.0\"','\"54.0~66.5\"','\"52.0~58.5\"','\"47.6~57.900000000000006\"','\"69.0~78.5\"','\"54.6~67.4\"','\"58.5~65.0\"','\"57.900000000000006~68.2\"','\"69.0~78.5\"','\"54.6~67.4\"',negative
